Property Name,Field Number,Acres
Wegis Ranch,301,17
Wegis Ranch,302,17.2
Wegis Ranch,303,44.4
Wegis Ranch,304,46
Wegis Ranch,305,45.1
Wegis Ranch,306,75.5
Wegis Ranch,307,71.7
Wegis Ranch,308,74.7
Wegis Ranch,309,70.5
Wegis Ranch,310,77.7
Wegis Ranch,311,74.8
Wegis Ranch,312,70.4
Wegis Ranch,313,70.5
Wegis Ranch,314,75
Wegis Ranch,315,76.7
Wegis Ranch,318,38.1
Wegis Ranch,319,36.5
Wegis Ranch,320,35.5
Wegis Ranch,321,37.5
Wegis Ranch,322,116
Wegis Ranch,323,72
Wegis Ranch,324,73
Wegis Ranch,325,77
Wegis Ranch,508,72.3
Wegis Ranch,509,66.53
Wegis Ranch,510,10
Wegis Ranch,601,31.1
Wegis Ranch,601B,30
Wegis Ranch,602,24
Wegis Ranch,603,23.8
Wegis Ranch,604,19.3
Wegis Ranch,605,46.1
Wegis Ranch,606,94.6
Wegis Ranch,608,45.2
Wegis Ranch,609,48.3
Wegis Ranch,610,47.6
Wegis Ranch,611,76
Wegis Ranch,B1,207
Foggy Bottom,B1,156.42
Foggy Bottom,B2,156.42
Foggy Bottom,B3,308.33
Foggy Bottom,B4,154.24
Foggy Bottom,B5,77.23
Foggy Bottom,B6,77.12
Foggy Bottom,B7,76.28
Foggy Bottom,B8,77.12
Foggy Bottom,B9,228.58
Foggy Bottom,B10,310.24
George DeBore Farming,D1,72.9
George DeBore Farming,D2,75.3
George DeBore Farming,D3,76.9
George DeBore Farming,D4,74.6
George DeBore Farming,D5,75
George DeBore Farming,D6,75
George DeBore Farming,D7,76.6
George DeBore Farming,D8,76.4
George DeBore Farming,D9,75.7
George DeBore Farming,D10,70.8
DeBore Pixley,1,86
DeBore Pixley,2,36.54
DeBore Pixley,3,52.3
DeBore Pixley,4,217
DeBore Pixley,5,228
DeBore Pixley,6,21
DeBore Pixley,7,38
Maya,207,72
Maya,212,72
Maya,213,53.6
Maya,214,52.7
Maya,215,73.8
Maya,216,73.7
Maya,219,76
Maya,220,74.8
Maya,225,71.2
Maya,226,75.5
Maya,229,73.8
Maya,230,76
Maya,MD1,72
Maya,MD2,77
Maya,MD3,77
Maya,MD4,72
Maya,MD5,70
Maya,MD6,75
Maya,MD7,70
Maya,MD8,74
Maya,MD9,96
Maya,MD10,96
Maya,MD11,53
Maya,MD12,55
West Star,201,63
West Star,202,75.6
West Star,203,74.8
West Star,204,72.2
West Star,205,62
West Star,205A,9
West Star,206,67.6
West Star,206A,5
West Star,208,67.9
West Star,209,71.3
West Star,210,76.2
West Star,211,65.9
West Star,227,71.6
West Star,228,73.2
West Star,S1,64.3
West Star,S2,40
West Star,S3,135
West Star,S4,135
West Star,S5,5
Bar Dairy,A1,73
Bar Dairy,A2,73
Bar Dairy,A3,44
Bar Dairy,A4,74
Bar Dairy,A5,37
Bar Dairy,A6,38
Bar Dairy,A7,35
Bar Dairy,A8,37
Bar Dairy,A9,73
Bar Dairy,B1,73
Bar Dairy,B2,72
Bar Dairy,B3,72
Bar Dairy,B4,75
Bar Dairy,B5,73
Bar Dairy,B6,76
Bar Dairy,C1,73
Bar Dairy,C2,75
Bar Dairy,C3,37
Bar Dairy,C4,37
Bar Dairy,C5,73
Bar Dairy,C6,73
Bar Dairy,D1,75
Bar Dairy,D2,75
Bar Dairy,D3,75
Bar Dairy,D4,75
Bar Dairy,D5,74
Bar Dairy,D6,73
10 Section,1,68
11 Section,2,155
